KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
578878,TelecÌ,325,201,199,12 %,"6,03 %",0 %,"0,00 %",0 %,"0,00 %",30 %,"15,07 %",0 %,"0,00 %",7 %,"3,51 %",7 %,"3,51 %",3 %,"1,50 %",1 %,"0,50 %",6 %,"3,01 %",0 %,"0,00 %",0 %,"0,00 %"
578886,TrpÌn,339,246,246,20 %,"8,13 %",0 %,"0,00 %",1 %,"0,40 %",34 %,"13,82 %",0 %,"0,00 %",6 %,"2,43 %",23 %,"9,34 %",4 %,"1,62 %",7 %,"2,84 %",1 %,"0,40 %",0 %,"0,00 %",0 %,"0,00 %"
578894,TrstÏnice,406,276,275,13 %,"4,72 %",0 %,"0,00 %",1 %,"0,36 %",18 %,"6,54 %",0 %,"0,00 %",25 %,"9,09 %",23 %,"8,36 %",3 %,"1,09 %",3 %,"1,09 %",2 %,"0,72 %",0 %,"0,00 %",0 %,"0,00 %"
572616,Trûek,147,87,84,7 %,"8,33 %",0 %,"0,00 %",0 %,"0,00 %",8 %,"9,52 %",0 %,"0,00 %",11 %,"13,09 %",7 %,"8,33 %",1 %,"1,19 %",2 %,"2,38 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
578908,T¯eba¯ov,736,297,295,16 %,"5,42 %",1 %,"0,33 %",0 %,"0,00 %",19 %,"6,44 %",0 %,"0,00 %",9 %,"3,05 %",37 %,"12,54 %",3 %,"1,01 %",4 %,"1,35 %",6 %,"2,03 %",1 %,"0,33 %",0 %,"0,00 %"
578916,⁄jezdec,79,52,49,4 %,"8,16 %",0 %,"0,00 %",0 %,"0,00 %",5 %,"10,20 %",0 %,"0,00 %",5 %,"10,20 %",3 %,"6,12 %",0 %,"0,00 %",2 %,"4,08 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
572624,⁄tÏchov,218,152,152,14 %,"9,21 %",1 %,"0,65 %",0 %,"0,00 %",15 %,"9,86 %",0 %,"0,00 %",2 %,"1,31 %",17 %,"11,18 %",4 %,"2,63 %",1 %,"0,65 %",10 %,"6,57 %",0 %,"0,00 %",1 %,"0,65 %"
578932,VendolÌ,757,425,421,20 %,"4,75 %",0 %,"0,00 %",0 %,"0,00 %",37 %,"8,78 %",0 %,"0,00 %",52 %,"12,35 %",45 %,"10,68 %",1 %,"0,23 %",10 %,"2,37 %",4 %,"0,95 %",0 %,"0,00 %",0 %,"0,00 %"
578941,Vidlat· SeË,233,170,170,7 %,"4,11 %",0 %,"0,00 %",0 %,"0,00 %",6 %,"3,52 %",0 %,"0,00 %",19 %,"11,17 %",14 %,"8,23 %",2 %,"1,17 %",1 %,"0,58 %",2 %,"1,17 %",0 %,"0,00 %",1 %,"0,58 %"
578959,VÌska u JevÌËka,136,70,70,0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",11 %,"15,71 %",0 %,"0,00 %",3 %,"4,28 %",14 %,"20,00 %",2 %,"2,85 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
578967,VÌtÏjeves,328,189,188,7 %,"3,72 %",0 %,"0,00 %",0 %,"0,00 %",11 %,"5,85 %",0 %,"0,00 %",2 %,"1,06 %",24 %,"12,76 %",1 %,"0,53 %",1 %,"0,53 %",4 %,"2,12 %",0 %,"0,00 %",0 %,"0,00 %"
581127,VlËkov,78,60,60,2 %,"3,33 %",0 %,"0,00 %",0 %,"0,00 %",1 %,"1,66 %",0 %,"0,00 %",11 %,"18,33 %",4 %,"6,66 %",1 %,"1,66 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
578975,Vranov· Lhota,373,196,193,12 %,"6,21 %",0 %,"0,00 %",0 %,"0,00 %",15 %,"7,77 %",0 %,"0,00 %",7 %,"3,62 %",29 %,"15,02 %",0 %,"0,00 %",3 %,"1,55 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
572292,Vr·ûnÈ,58,44,44,4 %,"9,09 %",2 %,"4,54 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",5 %,"11,36 %",2 %,"4,54 %",1 %,"2,27 %",0 %,"0,00 %",6 %,"13,63 %",0 %,"0,00 %",0 %,"0,00 %"
578991,Vysok·,39,27,26,5 %,"19,23 %",0 %,"0,00 %",0 %,"0,00 %",2 %,"7,69 %",0 %,"0,00 %",1 %,"3,84 %",1 %,"3,84 %",1 %,"3,84 %",0 %,"0,00 %",0 %,"0,00 %",2 %,"7,69 %",0 %,"0,00 %"
572195,éelivsko,28,20,20,1 %,"5,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",1 %,"5,00 %",4 %,"20,00 %",0 %,"0,00 %",2 %,"10,00 %",1 %,"5,00 %",0 %,"0,00 %",0 %,"0,00 %"
